OUT035,Supermarket Type1,Tier 2,Small,133103.91,930,3.94
OUT046,Supermarket Type1,Tier 1,Small,132113.37,930,3.95
OUT013,Supermarket Type1,Tier 3,Large,131809.02,932,3.94
OUT018,Supermarket Type2,Tier 3,Medium,131477.78,928,3.95
OUT027,Supermarket Type3,Tier 3,Medium,130714.67,935,3.95
OUT049,Supermarket Type1,Tier 1,Medium,130476.86,930,3.97
OUT019,Grocery Store,Tier 1,Small,73807.58,528,3.98
OUT017,Supermarket Type1,Tier 2,Small,50121.86,368,3.93
OUT045,Supermarket Type1,Tier 2,Small,47264.12,326,3.99
OUT017,Supermarket Type1,Tier 2,Large,45056.23,314,3.96
